코드,업종,관리직,전문직,사무직,서비스직,판매직,생산직,단순직
1 , 농업,.,0.6283 ,0.6388 ,0.5641 ,0.6155 ,0.5533 ,0.5674 
2 , 임업,.,.,0.6379 ,.,0.5968 ,0.5690 ,.
3 , 어업,.,0.6113 ,0.6383 ,0.5641 ,.,0.5668 ,0.5895 
5 , 석탄· 원유 및 천연가스 광업,.,.,.,.,.,0.5500 ,.
7 , 비금속광물 광업 ; 연료용 제외,.,0.6151 ,0.6435 ,.,0.6386 ,0.5577 ,.
8 , 광업 지원 서비스업,.,.,0.6383 ,.,.,.,.
10 , 식료품 제조업,0.6120 ,0.6240 ,0.6379 ,0.5641 ,0.6155 ,0.5692 ,0.5702 
11 , 음료 제조업,0.6333 ,0.6272 ,0.6383 ,.,0.6386 ,0.5772 ,0.5623 
12 , 담배 제조업,0.5908 ,0.6194 ,0.6331 ,.,0.6386 ,0.5668 ,0.5594 
13 , 섬유제품 제조업 ; 의복제외,0.6234 ,0.6209 ,0.6383 ,0.5641 ,0.6249 ,0.5659 ,0.5695 
14 , 의복· 의복액세서리 및 모피제품 제조업,0.6234 ,0.6250 ,0.6380 ,0.5670 ,0.6281 ,0.5659 ,0.5594 
15 , 가죽· 가방 및 신발 제조업,.,0.6189 ,0.6414 ,.,0.6249 ,0.5678 ,0.5659 
16 , 목재 및 나무제품 제조업 ; 가구제외,.,.,0.6383 ,.,0.6112 ,0.5691 ,0.5686 
17 , 펄프· 종이 및 종이제품 제조업,.,0.6244 ,0.6383 ,0.5708 ,0.6249 ,0.5728 ,0.5686 
18 , 인쇄 및 기록매체 복제업,0.5908 ,0.6245 ,0.6397 ,.,0.6386 ,0.5711 ,0.5632 
19 , 코크스· 연탄 및 석유정제품 제조업,.,.,0.6383 ,.,.,0.5622 ,0.5566 
20 , 화학물질 및 화학제품 제조업 ; 의약품 제외,0.6184 ,0.6253 ,0.6405 ,0.5641 ,0.6249 ,0.5702 ,0.5757 
21 , 의료용 물질 및 의약품 제조업,0.6333 ,0.6233 ,0.6385 ,.,.,0.5738 ,0.5763 
22 , 고무제품 및 플라스틱제품 제조업,0.6184 ,0.6234 ,0.6405 ,0.5674 ,0.6249 ,0.5693 ,0.5807 
23 , 비금속 광물제품 제조업,0.5908 ,0.6189 ,0.6393 ,0.5670 ,0.6386 ,0.5619 ,0.5668 
24 , 1차 금속 제조업,0.5908 ,0.6241 ,0.6405 ,0.5708 ,0.6386 ,0.5686 ,0.5675 
25 , 금속가공제품 제조업 ; 기계 및 가구 제외,0.6120 ,0.6200 ,0.6393 ,0.5708 ,0.6249 ,0.5637 ,0.5674 
26 , 전자부품· 컴퓨터· 영상· 음향 및 통신장비 제조업,0.6184 ,0.6206 ,0.6405 ,0.5794 ,0.6386 ,0.5692 ,0.5650 
27 , 의료· 정밀· 광학기기 및 시계 제조업,.,0.6208 ,0.6405 ,0.5641 ,0.6386 ,0.5652 ,0.5738 
28 , 전기장비 제조업,0.6120 ,0.6209 ,0.6380 ,.,0.6249 ,0.5688 ,0.5743 
29 , 기타 기계 및 장비 제조업,0.6184 ,0.6204 ,0.6405 ,0.5641 ,0.6386 ,0.5694 ,0.5675 
30 , 자동차 및 트레일러 제조업,0.6264 ,0.6223 ,0.6380 ,.,0.6386 ,0.5696 ,0.5661 
31 , 기타 운송장비 제조업,0.5908 ,0.6185 ,0.6383 ,.,.,0.5643 ,0.5573 
32 , 가구 제조업,.,0.6185 ,0.6397 ,.,0.6281 ,0.5631 ,0.5659 
33 , 기타 제품 제조업,0.6120 ,0.6218 ,0.6380 ,.,0.6366 ,0.5684 ,0.5686 
34 , 산업용 기계 및 장비 수리업,.,.,0.6374 ,0.5641 ,0.6228 ,0.5655 ,0.5594 
35 , 전기· 가스· 증기 및 공기조절 공급업,0.6184 ,0.6229 ,0.6391 ,0.5708 ,0.6386 ,0.5774 ,0.5799 
36 , 수도사업,0.5908 ,0.6345 ,0.6393 ,0.5708 ,.,0.5687 ,0.5877 
37 , 하수· 폐수 및 분뇨 처리업,0.5847 ,0.6200 ,0.6365 ,0.5641 ,0.6386 ,0.5652 ,0.5501 
